x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
413.62842559814453,322.5132751464844,389.13082122802734,286.90918922424316,354.62230682373047,272.37110137939453,324.4871139526367,274.6050453186035,308.6311340332031,288.5658359527588,328.55072021484375,277.32398986816406,302.1259307861328,280.78104972839355,313.4092712402344,280.7999610900879,326.6220474243164,281.52600288391113,325.99632263183594,302.74643898010254,303.98162841796875,299.0904235839844,315.07205963134766,297.978515625,327.5284194946289,300.056734085083,328.59771728515625,326.88660621643066,306.9112014770508,317.775821685791,316.9896697998047,316.0000991821289,329.8594665527344,318.2409381866455,333.73668670654297,347.69107818603516,311.0464096069336,336.73559188842773,320.0970458984375,333.95922660827637,331.0867691040039,335.73572158813477
280.48254013061523,239.19186115264893,293.2398796081543,203.63954544067383,314.6659851074219,179.3669843673706,337.498779296875,170.58255672454834,353.9140319824219,176.66221618652344,351.4000701904297,176.7382049560547,367.97489166259766,188.34128379821777,355.70499420166016,194.74227905273438,342.6356887817383,194.43251609802246,357.79884338378906,199.79613304138184,371.39453887939453,207.33355522155762,359.02530670166016,211.50421142578125,345.1298522949219,212.5793695449829,359.3062973022461,224.21514987945557,371.2643814086914,229.17637825012207,360.44761657714844,232.13374614715576,346.51092529296875,232.9063367843628,356.4976119995117,246.34663581848145,367.7289581298828,248.45209121704102,357.2898483276367,249.83027458190918,345.15625,249.8708152770996
410.8992385864258,323.9094829559326,387.58541107177734,289.16221618652344,355.8922576904297,275.39849281311035,327.4302673339844,275.06641387939453,311.7500114440918,287.3484420776367,325.1167678833008,279.2032814025879,297.9349136352539,283.69202613830566,308.7854766845703,284.5638656616211,322.3705291748047,285.24816513061523,323.23219299316406,304.15040016174316,301.58660888671875,301.0847282409668,313.1972885131836,300.173978805542,325.8263397216797,301.3406753540039,326.8043518066406,328.12740325927734,305.7814598083496,319.50342178344727,315.8160591125488,318.1504440307617,328.212890625,319.7970771789551,332.8912353515625,349.2664432525635,310.3200912475586,338.4436225891113,319.4744873046875,336.51140213012695,330.04688262939453,337.99489974975586
285.2894973754883,239.30060863494873,295.60009002685547,205.25208950042725,316.75121307373047,178.48337173461914,340.57106018066406,166.42444610595703,358.551025390625,171.39713287353516,355.1698303222656,177.15567111968994,370.64857482910156,187.91815280914307,359.2174530029297,195.72986125946045,345.94482421875,196.34020328521729,362.7513885498047,199.8328971862793,373.3848571777344,206.80063247680664,361.0423278808594,211.62208557128906,346.65164947509766,211.40613555908203,365.24261474609375,224.32246685028076,372.6123809814453,228.42251300811768,361.25694274902344,231.93031311035156,347.22599029541016,231.71706676483154,362.8469467163086,247.0033836364746,370.21671295166016,248.91523361206055,358.6920928955078,250.5901050567627,346.23802185058594,250.15308380126953
407.7386474609375,324.0323066711426,383.4576416015625,289.39799308776855,348.3252716064453,275.19750595092773,316.26590728759766,274.6981716156006,298.88397216796875,289.44522857666016,322.58087158203125,278.7300109863281,295.15586853027344,284.4399833679199,306.31601333618164,284.80971336364746,319.74674224853516,284.73649978637695,321.39732360839844,303.7361526489258,298.60313415527344,302.01510429382324,309.94298934936523,300.99597930908203,323.2472229003906,301.7581272125244,324.7397232055664,328.1001377105713,302.88333892822266,320.66554069519043,312.82251358032227,319.2596912384033,325.7210159301758,320.45702934265137,330.11234283447266,349.62693214416504,307.7815628051758,338.9457893371582,317.13958740234375,337.42358207702637,327.87811279296875,338.98072242736816
289.6250534057617,238.14177989959717,299.84851837158203,203.6964225769043,321.00894927978516,175.4941177368164,345.3010940551758,162.84254550933838,364.5738220214844,168.4685468673706,360.0792694091797,176.78348064422607,375.5617904663086,186.76417350769043,363.0377960205078,193.55559825897217,349.6456527709961,194.14463996887207,367.3027801513672,200.0925064086914,377.120361328125,206.06756687164307,364.0342330932617,209.75725650787354,350.0318145751953,209.44564819335938,369.46937561035156,224.8124599456787,375.2079391479492,228.29559803009033,363.2707214355469,231.06574058532715,349.43382263183594,230.93104362487793,366.77425384521484,247.65798568725586,372.8394317626953,249.1307830810547,360.7899475097656,249.9877166748047,348.5758590698242,249.34633255004883
405.8970260620117,325.09474754333496,382.0962142944336,290.2231693267822,347.8524398803711,275.4117679595947,315.4978370666504,274.91540908813477,298.4073066711426,290.0764274597168,320.7748031616211,278.52888107299805,295.0143814086914,284.11946296691895,306.3543891906738,284.800443649292,319.23696517944336,285.0654602050781,318.63582611083984,303.58723640441895,297.4187660217285,302.1590995788574,309.1413116455078,301.73644065856934,322.23522186279297,302.73427963256836,321.534423828125,328.0473518371582,301.0191535949707,321.12911224365234,311.25545501708984,320.0877857208252,324.1705322265625,321.3760757446289,326.97383880615234,349.8607063293457,305.57422637939453,339.787073135376,314.8518371582031,338.3892345428467,325.3755187988281,339.95121002197266
289.8197364807129,237.85058498382568,299.7900581359863,204.58683013916016,320.7017135620117,176.79954528808594,344.1504669189453,163.89402866363525,361.5628433227539,169.15157318115234,361.1662292480469,179.49095249176025,377.15309143066406,190.75791835784912,364.97276306152344,196.44311428070068,352.04925537109375,196.3562822341919,367.9875183105469,202.53177165985107,377.2641372680664,208.95315170288086,364.7795104980469,212.33799934387207,351.0732650756836,212.31087684631348,369.45011138916016,226.75360679626465,374.91756439208984,230.06406784057617,363.8182830810547,232.50921249389648,350.4325866699219,232.26073265075684,366.32755279541016,248.85403633117676,372.3468017578125,250.0590419769287,361.0118103027344,250.70374488830566,349.3103790283203,249.92300033569336
401.6519546508789,323.3155059814453,376.9526672363281,287.8427982330322,347.61783599853516,274.0367317199707,321.3185501098633,273.1157970428467,307.01663970947266,284.5393466949463,312.1700096130371,275.923490524292,290.4999542236328,280.4128360748291,302.66231536865234,281.50915145874023,316.1184501647949,282.7335262298584,308.5251998901367,300.75307846069336,291.4163398742676,298.0074691772461,302.9424285888672,298.0001735687256,315.5366897583008,299.5781707763672,311.95898056030273,325.2527332305908,294.81273651123047,317.34609603881836,305.3481864929199,316.66783332824707,317.96810150146484,318.37334632873535,318.883056640625,346.9688129425049,300.0609588623047,337.34896659851074,309.70020294189453,335.53247451782227,320.57647705078125,336.43707275390625
295.8213424682617,234.3995475769043,302.8744888305664,201.76311492919922,319.78403091430664,173.3462619781494,341.175537109375,160.22581100463867,357.79640197753906,165.6466770172119,363.42052459716797,170.66791534423828,381.92928314208984,184.6807050704956,369.0681457519531,191.97890281677246,355.41900634765625,192.10919380187988,371.4912796020508,193.61472129821777,383.5590362548828,203.0664825439453,370.38753509521484,207.43131637573242,356.34326934814453,207.60427951812744,374.0385437011719,218.34041118621826,380.76011657714844,223.9248561859131,368.94439697265625,226.89335346221924,355.3882598876953,226.77672386169434,372.00244903564453,241.6468620300293,376.9921875,244.1579532623291,364.9916076660156,245.04358291625977,352.95894622802734,244.3103313446045
